date,profit,trade_count
2020-04-21,83100.0,17
2020-04-22,-24500.0,5
2020-04-23,59200.0,6
2020-04-24,-12700.0,3
2020-04-27,-800.0,6
2020-04-28,3300.0,5
2020-04-29,-900.0,3
2020-04-30,14000.0,6
2020-05-04,-36400.0,6
2020-05-05,-4000.0,6
2020-05-06,-40100.0,7
2020-05-07,-11200.0,8
2020-05-08,-25600.0,4
2020-05-11,7200.0,2
2020-05-12,-37000.0,10
2020-05-13,-1600.0,6
2020-05-14,-2200.0,10
2020-05-15,32800.0,6
2020-05-18,5000.0,10
2020-05-19,-17900.0,3
2020-05-20,-3800.0,4
2020-05-21,-10000.0,4
2020-05-22,33100.0,7
2020-05-25,-5100.0,5
2020-05-26,-1200.0,4
2020-05-27,-19600.0,4
2020-05-28,21500.0,7
2020-05-29,-5900.0,3
2020-06-01,-15700.0,5
2020-06-02,-18100.0,5
2020-06-03,29400.0,10
2020-06-04,-15700.0,5
2020-06-05,-17200.0,4
2020-06-08,25200.0,6
2020-06-09,-17700.0,3
2020-06-10,-15500.0,5
2020-06-11,71600.0,12
2020-06-12,-13400.0,2
2020-06-15,88600.0,8
2020-06-16,-14900.0,7
2020-06-17,-14200.0,4
2020-06-18,-24200.0,4
2020-06-19,-5800.0,2
2020-06-22,-18300.0,3
2020-06-23,-16900.0,9
2020-06-24,-200.0,4
2020-06-29,-11400.0,8
2020-06-30,-14700.0,5
2020-07-01,-3900.0,5
2020-07-02,13000.0,4
2020-07-03,-200.0,8
2020-07-06,41600.0,4
2020-07-07,-40800.0,10
2020-07-08,3500.0,5
2020-07-09,-20200.0,2
2020-07-10,-14100.0,9
2020-07-13,7300.0,3
2020-07-14,-11800.0,6
2020-07-15,-28500.0,9
2020-07-16,-800.0,6
2020-07-17,-27700.0,7
2020-07-20,2900.0,5
2020-07-21,87900.0,11
2020-07-22,-17300.0,5
2020-07-23,-45100.0,9
2020-07-24,-4300.0,15
2020-07-27,-35900.0,7
2020-07-28,239000.0,20
2020-07-29,-75800.0,6
2020-07-30,-30300.0,7
2020-07-31,-46800.0,6
2020-08-03,-500.0,7
2020-08-04,58000.0,6
2020-08-05,31500.0,5
2020-08-06,-22100.0,3
2020-08-07,-14400.0,8
2020-08-10,8500.0,5
2020-08-11,27500.0,7
2020-08-12,25300.0,5
2020-08-13,-14700.0,11
2020-08-14,34700.0,5
2020-08-17,13100.0,3
2020-08-18,-44600.0,12
2020-08-19,71800.0,8
2020-08-20,199800.0,18
2020-08-21,900.0,3
2020-08-24,-44200.0,4
2020-08-25,-33900.0,5
2020-08-26,-13400.0,6
2020-08-27,-48000.0,10
2020-08-31,102600.0,8
2020-09-01,27300.0,5
2020-09-02,18200.0,2
2020-09-03,16400.0,4
2020-09-04,-65500.0,5
2020-09-07,77300.0,9
